ID,Name,Address,Latitude,Longitude,Operating Hours,Waze Link,Telephone,Email,Birthday Party,Breakfast,Cashless Facility,Dessert Center,Digital Kiosk,McCafe,WiFi,McDelivery
33,McDonald's Pearl Point DT,"Lot No G-08, Ground Floor, Pearl Point Shopping Complex, 5th Mile, Old Klang Road, 58000 Kuala Lumpur                                                                 ",3.084915,101.673568,24 Hours,"https://waze.com/ul?ll=3.084915,101.673568",03-79712465,S385@my.mcd.com,1,1,1,0,1,1,1,0
34,McDonald's Jalan P. Ramlee,"Lot G-W-1, Ground Floor, West Wing, Rohas Pure Circle, No 9, Jalan P Ramlee, 50450 Kuala Lumpur",3.154587,101.708461,24 Hours,"https://waze.com/ul?ll=3.154587,101.708461",03-21815851,s392@my.mcd.com,1,1,1,0,1,1,1,0
35,McDonald's BHP Jalan Kepong,"Lot PT 1, Batu 6 1/2, Jalan Kepong, 52000 Kuala Lumpur",3.208163,101.653579,24 Hours,"https://waze.com/ul?ll=3.208163,101.653579",03-62500090,s395@my.mcd.com,1,1,1,0,1,1,1,0
36,McDonald's Shell Jalan Sentul DT,"PT 8938, Jalan Sentul/Batu Caves, Mukim Setapak, Sentul, 51100 Kuala Lumpur",3.12223,101.41208,N/A,"https://waze.com/ul?ll=3.12223,101.41208",016-2127692,s398@my.mcd.com,1,1,1,0,1,1,1,0
37,McDonald's Wisma Lim Foo Yong ,"Wisma Lim Foo Yong, Lot No. 62, Seksyen 57, Jalan Raja Chulan, 50250 Kuala Lumpur. ",3.09032,101.42334,24 Hours,"https://waze.com/ul?ll=3.09032,101.42334",03-21102479,S405@my.mcd.com,1,1,1,0,1,0,1,0
38,McDonald's Sentul UOA DT,"LOT PT 10098, Jalan Sentul Pasar, Mukim Setapak Dalam, Bandaraya Kuala Lumpur 51000 Kuala Lumpur ",3.202057,101.689976,N/A,"https://waze.com/ul?ll=3.202057,101.689976",03-27029214,s408@my.mcd.com,1,1,1,0,1,1,1,0
39,McDonald's Shell Tasik Ampang DT,"Lot PT 2536, Lebuh Raya Lingkaran Tengah 2, Mukim Ampang, 55000 Kuala Lumpur",3.151919749,101.745321,N/A,"https://waze.com/ul?ll=3.151919749,101.745321",03-92013561,s430@my.mcd.com,0,1,1,0,1,1,1,0
40,McDonald's Shell Bukit Bintang DT,"225, Bukit Bintang St, Imbi, 55100 Kuala Lumpur, Federal Territory Of Kuala Lumpur",3.14752,101.7178428,N/A,"https://waze.com/ul?ll=3.14752,101.7178428",03-21101876,s434@my.mcd.com,0,1,1,0,1,0,1,0
41,McDonald's Shell Jalan Kuching DT,"Lot 58043, Jalan Kuching, Mukim Batu 68100, Wlayah Persekutuan Kuala Lumpur",3.223098,101.6721257,N/A,"https://waze.com/ul?ll=3.223098,101.6721257",,s440@my.mcd.com,0,1,1,0,1,0,1,0
42,McDonald's Shell Wangsa Maju DT,"Lot 28332, Jalan 8/27A, Pusat Bandar Wangsa Maju, 53300 Kuala Lumpur",3.19744,101.744674130684,N/A,"https://waze.com/ul?ll=3.19744,101.744674130684",03-41315949,s444@my.mcd.com,0,1,1,0,1,0,1,0
43,McDonald's Jalan Tun Razak DT,"No 9, Jalan Fletcher, 50400 Kuala Lumpur",3.1721,101.7086,24 Hours,"https://waze.com/ul?ll=3.1721,101.7086",03-26022147,s445@my.mcd.com,0,1,1,0,1,1,1,0
44,McDonald's Petron North Kiara DT,"452, Jalan Segambut, Kampung Segambut Tengah, 1200 Kuala Lumpur",3.18298,101.65492,24 Hours,"https://waze.com/ul?ll=3.18298,101.65492",03-62423593,s449@my.mcd.com,0,1,1,0,1,1,1,0
45,McDonald's Pantai Sentral Park DT,"No. 2, Jalan Pantai Sentral 1, Pantai Sentral, 59200, Wilayah Persekutuan Kuala Lumpur.",3.101972,101.666333,24 Hours,"https://waze.com/ul?ll=3.101972,101.666333",03-22411097,s450@my.mcd.com,0,1,1,0,1,1,1,0
46,McDonald's BHP Genting Klang DT,"5241 & 5242, 295, Jalan Genting Kelang, Perusahaan PKNS, 53200 Kuala Lumpur.",3.196826,101.7137842,N/A,"https://waze.com/ul?ll=3.196826,101.7137842",,s476@my.mcd.com,0,1,1,0,1,1,1,0
47,McDonald's Giant Ulu Kelang,"SG03 & SG04, Giant Ulu Kelang, Lot 13793 & 13796 Jalan Changkat Permata, 53300 Kuala Lumpur.",3.207414,101.7515586,N/A,"https://waze.com/ul?ll=3.207414,101.7515586",03-41085134,s468@my.mcd.com,0,1,1,0,1,1,1,0
48,McDonald's Titiwangsa DT,"Lot 8, Section 85, Jalan Pahang, 53000, Setapak, Kuala Lumpur, Malaysia.",3.179551,101.700383,24 Hours,"https://waze.com/ul?ll=3.179551,101.700383",03-40311346,s020@my.mcd.com,1,1,1,0,1,1,1,1
49,McDonald's Shell Taman Desa DT,"1 Jln 3/109E, Desa Business Park, Taman Desa, 58100 Kuala Lumpur",3.10078877793453,101.686130313856,N/A,"https://waze.com/ul?ll=3.10078877793453,101.686130313856",03-79720127,s491@my.mcd.com,0,1,1,0,1,1,1,0
50,McDonald's Desa Petaling SF,"1-3, Pusat Perdagangan Salak II, Jalan 2/125, Taman Desa Petaling, 57100 Kuala Lumpur",3.0845,101.700753,N/A,"https://waze.com/ul?ll=3.0845,101.700753",,s501@my.mcd.com,0,1,1,0,1,1,1,0
